,speech
4299,"Para hablar sobre el tema se otorgará a los grupos parlamentarios el uso de la palabra hasta por cinco minutos. Tiene el uso de la palabra la diputada Beatriz Manrique Guevara, del Partido Verde Ecologista de México."
4300," Con la venia de la Presidencia. Compañeras y compañeros, no quiero sentirme valiente cuando salga a la calle, lo que quiero es sentirme libre."
4301," Gracias, diputada. Tiene la palabra la diputada Guadalupe Almaguer Pardo, del Grupo Parlamentario del Partido de la Revolución Democrática."
4302," Con su permiso, diputada presidenta."
4303," Adelante, diputada."
4304," Desde el 31 de julio del 2015, la Secretaría de Gobernación, por conducto de la Conavim, declaró la alerta de violencia de género de los municipios de Chalco, Chimalhuacán, Cuautitlán Izcalli, Ecatepec de Morelos, Ixtapaluca, Naucalpan de Juárez, Nezahualcóyotl, Tlalnepantla de Baz, Toluca, Tultitlán y Valle de Chalco, Solidaridad, del estado de México."
4305," Concluya, diputada."
4306," ... tolerar más, porque genera un clima de estado sin ley que atenta contra la vida y la libertad de las mujeres mexiquenses. Ni una más."
4307," Tiene la palabra la diputada Ruth Salinas Reyes, del Grupo Parlamentario de Movimiento Ciudadano."
4308," Con su venia, señora presidenta."
4309," Adelante, diputada."
4310," Compañeras y compañeros legisladores, Estado de México, la peor entidad federativa para ser mujer en el país."
4311," Gracias, diputada. Tiene la palabra la diputada Claudia Angélica Domínguez Vázquez, del Partido del Trabajo, hasta por cinco minutos."
4312,"Primero, con la venia de la Presidencia."
4313,"Adelante, diputada."
4314,"Quiero pedir que por lo menos las diputadas, por respeto a nuestras muertas, tomen asiento y escuchen lo que las oradoras tenemos que decir del tema."
4315," Gracias, diputada. La diputada Carolina García Aguilar, del Partido Encuentro Social, tiene la palabra hasta por cinco minutos."
4316," Con su venia, diputada presidenta."
4317," Adelante, compañera."
4318," Honorable asamblea, somos hijas, madres, tías, nietas, sobrinas, abuelas, hermanas y nos están matando."
4319," Gracias, diputada. Tiene la palabra la diputada Lourdes Erika Sánchez Martínez, del PRI, hasta por cinco minutos."
4320," Con su permiso, presidenta. Compañeras y compañeros diputados, la violencia feminicida es mucho más que matar a una mujer, es producto de una violación sistemática de los derechos humanos. En esencia es un crimen en contra de las raíces sociales y la sana convivencia entre hombres y mujeres, y ha sido calificada por la Organización Mundial de la Salud como una epidemia."
4321,"Tiene la palabra la diputada Josefina Salazar Báez, del Partido Acción Nacional."
4322,"Con su venia, diputada presidenta."
4323, Adelante.
4324," Diputadas y diputados, señoras y señores. Agradezco a mis compañeras y compañeros legisladores la oportunidad de expresarme en esta alta tribuna para fijar la postura del Grupo Parlamentario del Partido Acción Nacional en torno al sensible punto de acuerdo que condena enérgicamente el aumento de feminicidios en todo el país, pero principalmente en Ecatepec de Morelos, en el estado de México."
4325," Gracias a usted. Tiene la palabra, hasta por cinco minutos, la diputada Alma Delia Navarrete Rivera, de Morena."
4326," Gracias, diputada presidenta. Otra vez en Ecatepec, otro feminicidio más. Nuevamente en los medios de comunicación Ecatepec. Qué penoso que a mi municipio se le conozca por estos penosos acontecimientos."
4327," Gracias, diputada. Han solicitado la palabra para rectificación de hechos. La diputada María Eugenia Hernández Pérez, de Morena, tiene la tribuna hasta por tres minutos. ¿Está la diputada María Eugenia Hernández Pérez? Acá viene Maru."
4328,"Buenas tardes. Como es del conocimiento público el estado de México, junto con el estado de Veracruz, encabezamos a nivel nacional, de la forma más deshonrosa y vergonzante, la lista de las entidades federativas con el mayor número de feminicidios cometidos en este año."
4329," Tiempo, diputada."
4330," ... que se nombre y se insista como un problema en el cual necesitamos actuar todos los órdenes. Que nunca más se repitan actos así. Ni una muerta más, ni una muerta más, ni una más. Gracias."
4331," Tiene el uso de la palabra la diputada Verónica María Sobrado Rodríguez, de Acción Nacional."
4332,"Gracias, presidenta. Cuando una mujer muere a manos de un feminicida no solo la perdemos a ella, perdemos la cohesión familiar y social. Nos perdemos como sociedad. "
4333," Gracias. En el uso de la palabra, la diputada María Elizabeth Díaz García, de Morena."
4334," Con su venia, diputada presidenta. Las mujeres en México estamos viviendo una tragedia y una emergencia a nivel nacional, de 11 feminicidios que se cometen todos los días en América Latina, nueve son cometidos en México, la mayor parte en el estado de México y la mayor cantidad en Ecatepec, al municipio que yo represento y que hace algunos días dolorosamente vimos cómo varios cuerpos de mujeres fueron encontrados en una casa
descuartizados."
4335,"Tiempo, diputada."
4336,"Nacer niña en este país, es un peligro mortal. Ni una menos. Nos queremos vivas. Es cuanto."
4337," Tiene el uso de la palabra, hasta por tres minutos, la diputada Ana Lilia Herrera Anzaldo, del PRI."
4338,"Compañeras y compañeros, qué pena que ante una discusión tan relevante hayamos tan pocas personas en este recinto, tan pocas y pocos legisladores. "
4339,"Gracias. En el uso de la palabra, la diputada Wendy Briceño Zuloaga, de Morena, hasta por tres minutos."
4340,Gracias.
4341,"Adelante, diputada."
4342,"Con la venia de la Presidencia. Buenas tardes a todas y a todos. Llamar a las cosas por su nombre no significa partidizar, significa que se tiene que observar el ángulo de los responsables de las políticas fallidas en nuestro país para poder actuar en consecuencia."
4343," Gracias, diputada Wendy Briceño Zuloaga. "
4344," Gracias. Buenas tardes, compañeras y compañeros. Presidenta, muy buenas tardes."
4345," En el uso de la palabra, el diputado Jaime Humberto Pérez Bernabe, de Morena."
4346," Con su permiso, presidenta."
4347," Adelante, señor diputado."
4348," Las muertas de Juárez fue un golpe fuerte a todo el país, no era algo ajeno a nadie, pareciera que fueron invisibles, que no tenían rostro. Mujeres que fueron mutiladas y nadie tomó en cuenta ello. Después, el estado de México, Ecatepec, y no se trata de politizar, como bien dicen, pero peor es querer encubrir a falsos gobernantes, que no han hecho absolutamente nada por defender a las mujeres, por defender al género que genera vida en este
país y en todo el mundo."
4349," En el uso de la palabra el diputado Gerardo Fernández Noroña, del Partido del Trabajo."
4350,"Compañeros diputados, compañeras diputadas, yo no sabía que el diputado Jaime Humberto Pérez iba a hacer uso de la palabra, si no me habría abstenido, porque me parecía importante que algún compañero legislador viniera a la tribuna."
4351," En el uso de la palabra, la diputada Xochitl Nashielly Zagal Ramírez, de Morena."
4352," Hago uso de la voz, con la venia, señora presidenta."
4353,"Adelante, diputada."
4354,Puesto que debo rectificar algunos hechos.
4355," Gracias, diputada. La diputada Lizeth Sánchez García, del Partido del Trabajo, en el uso de la palabra hasta por tres minutos."
4356,"Gracias, presidenta."
4357, Adelante.
4358,La paz en nuestros días pareciera ser que tiene dueños o está restringida para unos cuantos. Un derecho que deberíamos gozar desde nuestro nacimiento ha sido vulnerado y pareciera ya normal hablar de tanta violencia.
4359," En el uso de la palabra, la diputada Maribel Martínez Ruiz, del Partido del Trabajo."
4360," Hablar de violencia por razones de género es hablar de la violencia dirigida en contra de las mujeres por el solo hecho de ser mujer. Violencia que puede ser ejercida por personas desconocidas, por su pareja, por su familia, amigas, vecinos, compañeros de trabajo e incluso por el Estado, tanto en el ámbito privado como público, pudiéndose presentar en cada etapa de su vida."
4361,"Tiempo, diputada."
4362," Solicito a las diputadas proponentes, así como al pleno de esta soberanía se accione un acuerdo general. En Oaxaca hemos exhortado al gobierno para que dé claridad en las acciones que se están poniendo en favor de la seguridad de las mujeres. Es cuanto, presidenta."
4363,"En el uso de la palabra el diputado Ricardo Aguilar Castillo, del PRI, y cierra este debate la diputada Beatriz Rojas Martínez, de Morena."
4364,"Muchas gracias. Con su permiso, señora presidenta."
4365,Adelante.
4366,"En el Grupo Parlamentario del PRI estamos a favor de la vida. La vida se cuida, la vida tiene un valor muy importante, tiene un valor indescifrable, pero con eso no se lucra."
4367," En el uso de la palabra la diputada Beatriz Rojas Martínez, de Morena."
4368,"Con su venia, diputada presidenta. Diputadas y diputados, aquí no se viene a partidizar un tema de acceso a la justicia, mucho menos se va a lucrar con este tema, no es político, si fuera político recordaría al feminicidio de la pequeña Paulette, que nunca fue y nunca tuvo acceso a la justicia, que nunca fue claro y que nunca tuvo acceso a la justicia."
4369," Gracias. Ha solicitado para alusiones personales el uso de la palabra, la diputada Ana Lilia Herrera Anzaldo, del PRI.  Hasta por tres minutos."
4370,"Quiero decirle con mucho respeto, a la compañera de Morena que me aludió, que esto no es personal. Si lo fuera tendría que decir que fui una alcaldesa intachable, que salió con la frente en alto, con las manos limpias y con muchos resultados, tanto que fui senadora por mayoría y conozco perfectamente mi estado, tanto como para saber que la población mazahua está en el norte de mi estado, muy bien representada aquí por mi compañero Zarzosa, no en
Metepec, donde por cierto tenemos muchos retos y muchas carencias."
4371," En el uso de la palabra para cerrar este debate, la diputada Ana Karina Rojo Pimentel, del Partido del Trabajo. Opta por hacerlo desde su lugar."
4372," (desde la curul): Gracias, diputada presidenta. No me paro ahí, porque quiero decirles a todos los diputados, a todos, este no es un tema partidario, es la sensibilidad de las mujeres, de lo que estamos viviendo día con día y que no alcemos la voz para justificar lo injustificable, cuando un gobierno ha sido inepto y corrupto ante este tema."
4373,(desde la curul): Presidenta.
4374," Está solicitando la palabra la diputada. Por favor, micrófono."
